Disease Name,Recommended Intake to Improve Deficiency
Anemia,"Spinach, Lentils, Red Meat, Tofu"
Anemia,"Salmon, Eggs, Fortified Cereals, Yogurt"
Osteoporosis,"Dairy Products, Leafy Greens, Almonds, Tofu"
Osteoporosis,"Fatty Fish, Egg Yolks, Mushrooms, Fortified Foods"
Kwashiorkor,"Chicken, Tofu, Eggs, Lentils"
Kwashiorkor,"Walnuts, Chia Seeds, Flaxseeds, Salmon"
Scurvy,"Oranges, Strawberries, Kiwi, Bell Peppers"
Scurvy,"Carrots, Sweet Potatoes, Kale, Spinach"
Hypertension,"Bananas, Potatoes, Spinach, Avocados"
Hypertension,"Spinach, Almonds, Cashews, Dark Chocolate"
Diabetes,"Broccoli, Grape Juice, Potatoes, Fish"
Diabetes,"Spinach, Nuts, Seeds, Whole Grains"
Hyperthyroidism,"Seaweed, Cod, Yogurt, Eggs"
Hyperthyroidism,"Dairy Products, Tofu, Fortified Orange Juice, Leafy Greens"
Hypothyroidism,"Fish, Dairy Products, Seaweed, Eggs"
Hypothyroidism,"Brazil Nuts, Sunflower Seeds, Brown Rice, Fish"
Rickets,"Fatty Fish, Fortified Milk, Egg Yolks, Cheese"
Rickets,"Dairy Products, Leafy Greens, Almonds, Tofu"
Pellagra,"Chicken, Fish, Brown Rice, Peanuts"
Pellagra,"Turkey, Eggs, Cheese, Tofu"
Beriberi,"Whole Grains, Pork, Peas, Nuts"
Beriberi,"Eggs, Dairy Products, Green Leafy Vegetables, Almonds"
Scurvy,"Leafy Greens, Broccoli, Brussels Sprouts, Green Beans"
Osteomalacia,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Osteomalacia,"Dairy Products, Leafy Greens, Almonds, Tofu"
Atrophic Gastritis,"Meat, Fish, Dairy Products, Fortified Cereals"
Atrophic Gastritis,"Red Meat, Beans, Lentils, Spinach"
Celiac Disease,"Quinoa, Rice, Potatoes, Gluten-Free Oats"
Celiac Disease,"Dairy Products, Leafy Greens, Almonds, Tofu"
Cholecystitis,"Avocado, Olives, Nuts, Fatty Fish"
Cholecystitis,"Leafy Greens, Brussels Sprouts, Broccoli, Green Beans"
Fatty Liver Disease,"Fatty Fish, Flaxseeds, Chia Seeds, Walnuts"
Fatty Liver Disease,"Nuts, Seeds, Spinach, Avocado"
Parkinson�s Disease,"Fish, Nuts, Spinach, Broccoli"
Parkinson�s Disease,"Fatty Fish, Fortified Milk, Egg Yolks, Mushrooms"
Alzheimer's Disease,"Fatty Fish, Walnuts, Flaxseeds, Chia Seeds"
Alzheimer's Disease,"Berries, Dark Chocolate, Spinach, Kale"
Multiple Sclerosis,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Multiple Sclerosis,"Fatty Fish, Walnuts, Chia Seeds, Flaxseeds"
Ulcerative Colitis,"Spinach, Nuts, Whole Grains, Legumes"
Ulcerative Colitis,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Crohn's Disease,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Crohn's Disease,"Meat, Shellfish, Legumes, Seeds"
Rheumatoid Arthritis,"Fatty Fish, Walnuts, Flaxseeds, Chia Seeds"
Rheumatoid Arthritis,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Asthma,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Asthma,"Spinach, Nuts, Whole Grains, Avocados"
Skin Conditions,"Meat, Shellfish, Legumes, Nuts"
Skin Conditions,"Avocado, Olive Oil, Walnuts, Salmon"
Sickle Cell Disease,"Leafy Greens, Beans, Nuts, Citrus Fruits"
Sickle Cell Disease,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
IBS,"Whole Grains, Fruits, Vegetables, Legumes"
IBS,"Nuts, Seeds, Leafy Greens, Avocados"
Atherosclerosis,"Fatty Fish, Walnuts, Flaxseeds, Chia Seeds"
Atherosclerosis,"Whole Grains, Beans, Fruits, Vegetables"
Hypoparathyroidism,"Dairy Products, Leafy Greens, Almonds, Tofu"
Hypoparathyroidism,"Fatty Fish, Fortified Foods, Egg Yolks, Mushrooms"
Wilson's Disease,"Shellfish, Nuts, Whole Grains, Dark Chocolate"
Wilson's Disease,"Meat, Shellfish, Legumes, Seeds"
Hypertension,"Bananas, Potatoes, Spinach, Avocados"
Hypertension,"Spinach, Almonds, Cashews, Dark Chocolate"
Hypertension,"Dairy Products, Leafy Greens, Tofu, Fortified Orange Juice"
Hypertension,"Whole Grains, Fruits, Vegetables, Beans"
Coronary Artery Disease,"Fatty Fish, Flaxseeds, Walnuts, Chia Seeds"
Coronary Artery Disease,"Berries, Dark Chocolate, Leafy Greens, Spinach"
Atrial Fibrillation,"Spinach, Almonds, Cashews, Black Beans"
Atrial Fibrillation,"Fish, Nuts, Spinach, Broccoli"
